IP,Username,status code
24.245.52.42,test,530
124.193.179.120,root,530
125.74.189.231,support,530
83.51.55.181,root,530
118.41.204.48,support,530
94.156.6.207,root,530
143.110.168.204,-,530
143.198.105.73,root,530
42.81.140.83,ubnt,530
