IP,Username,Status code
10.164.212.79,sftp-rf-store,230
10.164.212.112,sftp-rf-store,230
10.164.178.118,sftp-rf-store,230
10.164.40.126,sftp-rf-store,230
10.164.40.102,sftp-rf-store,230
194.145.16.129,RL-sftp-HATCH-SFCC,230
10.164.198.97,sftp-rf-store,230
10.164.238.230,sftp-rf-store,230
10.164.172.96,sftp-rf-store,230
10.164.238.111,sftp-rf-store,230
10.164.172.117,sftp-rf-store,230
10.164.172.112,sftp-rf-store,230
10.164.172.101,sftp-rf-store,230
10.164.172.84,sftp-rf-store,230
10.164.210.92,sftp-rf-store,230
10.164.210.73,sftp-rf-store,230
10.164.238.228,sftp-rf-store,230
10.164.106.97,sftp-rf-store,230
10.164.106.99,sftp-rf-store,230
10.98.32.94,RL-SFTP-SOLTEQ,230
10.164.106.64,sftp-rf-store,230
10.165.65.107,sftp-rf-store,230
10.164.106.100,sftp-rf-store,230
10.164.172.120,sftp-rf-store,230
10.164.172.102,sftp-rf-store,230
10.164.172.126,sftp-rf-store,230
10.164.26.118,sftp-rf-store,230
10.164.206.112,sftp-rf-store,230
10.164.22.250,sftp-rf-store,230
10.164.172.105,sftp-rf-store,230
10.164.172.80,sftp-rf-store,230
10.203.50.37,APP-FTP-MICROS,230
10.203.27.246,APP-FTP-IT2-IT2,230
39.110.246.153,app-ftp-ax-tentac-qa,230
10.164.154.124,sftp-rf-store,230
10.164.61.168,sftp-rf-store,230
54.83.227.254,SFTP-PRDCT-CM-PMG,230
10.164.28.99,sftp-rf-store,230
10.164.28.100,sftp-rf-store,230
10.164.198.98,sftp-rf-store,230
10.164.178.94,sftp-rf-store,230
10.203.50.36,APP-FTP-MICROS,230
10.164.204.68,sftp-rf-store,230
10.164.206.121,sftp-rf-store,230
10.98.32.97,SFTP-GFE-EU,230
97.65.3.20,SFTP-MACYS-IP,230
136.147.128.8,RL-SFTP-SF,230
10.98.32.102,SFTP-IP-EU,230
52.174.23.121,RL-SFTP-RetailEx-QA,230
136.147.128.5,RL-SFTP-SF,230
136.147.128.6,RL-SFTP-SF,230
216.237.221.10,RL-SFTP-TACG,230
136.147.128.2,RL-SFTP-SF,230
136.147.128.4,RL-SFTP-SF,230
10.205.19.16,APP-FTP-AX-SNATT,230
10.164.176.105,sftp-rf-store,230
68.171.167.75,SFTP-CM-PRDCT-FEED,230
